NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
702,4997,1472
703,5014,1477
704,5011,1478
705,5009,1480
706,5051,1483
707,5039,1482
708,5058,1486
709,5043,1489
710,5076,1491
711,5087,1494
712,5048,1496
713,5076,1498
714,5089,1499
715,5096,1501
716,5092,1503
717,5123,1505
718,5163,1506
719,5161,1509
720,5185,1513
721,5143,1513
722,5156,1516
723,5219,1518
724,5195,1521
725,5177,1523
726,5202,1525
727,5174,1527
728,5247,1527
729,5270,1531
730,5204,1534
731,5241,1534
732,5222,1536
733,5252,1540
734,5331,1541
735,5257,1543
736,5322,1544
737,5308,1549
738,5295,1550
739,5318,1552
740,5350,1556
741,5352,1555
742,5306,1559
743,5365,1559
744,5343,1563
745,5376,1566
746,5310,1568
747,5402,1568
748,5386,1571
749,5371,1574
750,5411,1575
751,5415,1577
752,5400,1582
753,5450,1581
754,5436,1585
755,5442,1585
756,5411,1587
757,5453,1589
758,5464,1591
759,5546,1595
760,5522,1597
761,5501,1598
762,5535,1601
763,5565,1601
764,5542,1605
765,5521,1606
766,5575,1608
767,5532,1612
768,5532,1613
769,5573,1615
770,5539,1618
771,5649,1618
772,5605,1621
773,5661,1624
774,5622,1626
775,5553,1629
776,5653,1630
777,5607,1631
778,5600,1636
779,5649,1635
780,5681,1637
781,5624,1640
782,5658,1642
783,5721,1645
784,5738,1647
785,5727,1650
786,5733,1650
787,5673,1652
788,5661,1656
789,5743,1657
790,5767,1659
791,5762,1659
792,5741,1663
793,5696,1665
794,5823,1669
795,5781,1670
796,5768,1673
797,5775,1674
798,5805,1675
799,5796,1676
800,5777,1680
801,5826,1682
802,5854,1685
803,5875,1685
804,5817,1689
805,5846,1691
806,5918,1692
807,5853,1694
808,5877,1699
809,5916,1699
810,5901,1699
811,5897,1704
812,5952,1704
813,5912,1708
814,5912,1710
815,5915,1713
816,5946,1716
817,5997,1718
818,5914,1718
819,5900,1720
820,5970,1723
821,5998,1725
822,6017,1726
823,6038,1728
824,6019,1730
825,5998,1732
826,6023,1735
827,6056,1737
828,6039,1738
829,6069,1740
830,6026,1744
831,6044,1745
832,6126,1748
833,6113,1749
834,6146,1752
835,6030,1755
836,6083,1754
837,6117,1758
838,6100,1760
839,6136,1762
840,6118,1764
841,6140,1766
842,6173,1769
843,6148,1771
844,6148,1772
845,6161,1773
846,6160,1776
847,6245,1777
848,6217,1781
849,6212,1783
850,6181,1785
851,6278,1787
852,6238,1789
853,6242,1791
854,6298,1794
855,6171,1795
856,6265,1800
857,6308,1799
858,6285,1800
859,6258,1804
860,6322,1807
861,6323,1808
862,6333,1809
863,6361,1811
864,6368,1814
865,6377,1816
866,6397,1822
867,6464,1820
868,6387,1822
869,6398,1827
870,6373,1827
871,6389,1830
872,6414,1828
873,6470,1833
874,6414,1836
875,6461,1838
876,6416,1837
877,6403,1841
878,6464,1843
879,6485,1847
880,6449,1849
881,6477,1852
